SMILES,CID,Self interaction (eV),BE with FA+ (eV),BE with PbI2 (eV)
CCC1=NC=CN=C1CC,27458,-0.221,-1.155,-1.272
CC=CC(=O)OC(C)(C)C,76732,-0.046,-1.124,-1.187
CCC1CCCC1=O,92991,0.001,-1.116,-1.091
CC(C)(C)CC(=O)OC,66298,-0.26,-1.12,-1.177
CC(C)/C=C/C(=O)C,5363140,-0.294,-1.184,-0.897
C1CC(C1)C#N,78148,-0.345,-1.114,-1.079
CC(C=C)OC(=O)C,138821,-0.139,-1.128,-1.216
CC(CC(C)(C)OC)O,78955,-0.802,-1.517,-1.465
CC(=O)C=CN(C)C,566952,-0.374,-1.737,-1.349
CCC(=O)CC#N,9920369,-0.566,-1.233,-0.841
CC1=CC=C(N1C)C,70260,-0.51,-1.153,-1.281
CC(C)OS(=O)OC(C)C,536816,-0.666,-1.146863592,-0.950868709
CC(OC)(OC)OC,15050,-0.332,-1.167149186,-0.914577032
CC(COC)O,7900,-0.152,-1.151570749,-0.938106687
CC(=O)OCCC(C)(C)OC,62308,-0.431,-1.807,-0.976
CC(C)CC(=O)OC,11160,-0.217,-1.111,-1.163
CC(=C)CCO,12988,-0.329,-1.119,-1.017
CCOC(=O)C(C)OC,357744,-0.038,-1.165575264,-0.911873287
C[C@@H]([C@H](C)O)O,439888,-0.601,-1.118,-1.018
CO[Si](C)(C=C)OC,85589,-0.224,-1.1811138,-0.886641101
CC(=O)COC(=O)C,11593,-0.784,-1.134962957,-0.963962215
CC1=NN=CC=C1,74208,-0.479,-1.817,-1.225
C(C(CO)(F)F)O,95744,-0.743,-1.126,-0.986
CC1=NC(=CC=C1)F,96090,-0.309,-1.148,-0.936
C/C=C/C=C/C(=O)OC,5323650,-0.496,-1.156,-0.921
CCC1=NC=CN=C1C,27457,-0.289,-1.132,-1.252
CC(COC(C)COC)O,25484,-0.41,-1.105,-1.146
CCC1=NC=C(N=C1)C,25915,-0.364,-1.147,-1.284
C[C@@H](CC#C)O,7568329,-0.761,-1.111,-1.03
C1=CC=NC(=C1)F,9746,-0.253,-1.118,-1.22
CCOC(=O)C(C)(C)O,6653,-0.43,-1.73,-1.372
CC(=O)C=COC,94297,-0.653,-1.192,-1.353
CN(C)C(=O)C(F)(F)F,350491,-0.603,-1.162,-0.906
CC1(CCCC1=O)C,138286,-0.24,-1.114,-1.209
CCOC(OCC)OCC,31214,-0.044,-1.19947534,-0.858138184
C1C=CC=CC1=O,141125,-0.384,-1.174988646,-0.886062384
CCOC(=O)C=CC,12191,-0.338,-1.106,-1.184
CCOC(=O)/C=C/C,429065,-0.426,-1.106,-1.186
CC(=CC(=O)C)C,8858,-0.483,-1.171490143,-0.885789502
CC(C)(C)OC(=O)CC=C,639778,-0.27,-1.182,-0.87
C[C@H]1CCCCC1=O,7057963,-0.502,-1.17,-0.885
CC1CCCCC1=O,11419,-0.202,-1.17,-0.884
CC(C)C=CC(=O)C,21244,-0.295,-1.125447859,-0.957428761
CC(C)(C)[C@@H](CO)N,2734079,-0.246,-1.669,-1.43
CC1=C(N=CC=C1)F,242722,-0.206,-1.136,-0.935
CCOC(=O)C(CC=C)(F)F,14049931,-0.645,-1.098,-1.046
CCCOS(=O)OCCC,136434,-0.382,-1.093,-1.13
CC(C)OC(=O)CC(=O)C,68329,-0.051,-1.100137862,-1.032567218
CCCC=CCCO,74363,,-1.264,-1.427
C/C=C(/C)\C(=O)C,5357356,-0.557,-1.109,-0.997
CCOS(=O)OCC,12197,-0.4,-1.195,-0.85
CCOC(=O)CN(C)C,118412,-0.605,-1.776,-1.333
